wielkosc;C/Z
645.94;22.65
207.63;13.52
1933.27;57.18
45.77;7.61	
2766.38;55.00
49.10;8.38
179.22;12.76
2270.69;55.57
609.15;21.47
1944.45;68.75
47.55;6.50
46.37;6.48
47.51;5.42
2512.09;65.27
51.44;7.15
41.06;6.41
596.33;21.59
177.20;15.02
677.47;23.80
604.03;22.41
666.69;25.89
211.21;13.94
1978.18;68.52
223.80;13.17
2213.40;65.94
2570.86;70.77
646.26;23.74
2808.25;54.95
43.85;5.70
201.19;13.69
2151.50;55.57
527.44;27.49
599.29;26.02
574.15;20.02
203.71;15.67
44.16;6.98
171.02;11.33
203.61;12.72
2040.82;68.45
630.16;22.05
49.01;6.71
43.13;6.26
239.68;15.16
202.55;12.02
